% of Total,@Bar Color using Set,@Fake Highlight,@Highlight Bar Chart by Dist,@Highlight Bar Chart by Dist Group,@Swap Bars Filter,Close Date,Days in Theaters,Distributor,Distributor (copy),Distributor (group),Distributor (group) (copy),Highlight by Distributor Color,Length,Open Th,Rank ,Rank  ,Release,Release (copy),Release Date,Release Date (copy),Theaters,Total Gross (bin),@Bottom Bar Instructions Filter,@Bubble Size,@Highlight Bar Chart by Month,@Scatter Instructions Filter,@Top Movies Instructions Filter,@Worldwide Gross Non Null,Budget,Gross per Release,Number of Records,Opening,Random,Rank,Total Gross,Total Gross (copy),Worldwide Gross,Worldwide Profit
31.50%,Lionsgate,,NADA,NADA,Month,22/01/2019,-290,Lionsgate,Lionsgate,Lionsgate,Lionsgate,11,6,"3,242",50 / 788,50,Midway,Midway,08/11/2019,08/11/2019,"3,242",50000K,21,$56.8 Million,11,11,1,23192597,$100M,56846802,1,17897419,12435,50,56846802,$56.8M,123192597,$23M
48.10%,Warner Bros.,,NADA,NADA,Month,04/07/2019,76,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,4,23,"3,372",51 / 788,51,The Curse of la Llorona,The Curse of la Llorona,19/04/2019,19/04/2019,"3,372",50000K,21,$54.7 Million,4,11,1,0,,54733739,1,26347631,63469,51,54733739,$54.7M,,$0M
44.80%,Paramount Pictures,,NADA,NADA,Month,30/05/2019,55,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,4,12,"3,585",52 / 788,52,Pet Sematary,Pet Sematary,05/04/2019,05/04/2019,"3,585",50000K,21,$54.7 Million,4,11,1,88501146,$21M,54724696,1,24502775,47057,52,54724696,$54.7M,109501146,$89M
33.40%,Paramount Pictures,,NADA,NADA,Month,11/04/2019,63,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,2,13,"2,912",53 / 788,53,What Men Want,What Men Want,07/02/2019,07/02/2019,"2,912",50000K,21,$54.6 Million,2,11,1,49911903,$20M,54611903,1,18232087,6386,53,54611903,$54.6M,69911903,$50M
37.90%,Twentieth Century Fox,,NADA,NADA,Month,12/12/2019,83,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,9,8,"3,460",54 / 788,54,Ad Astra,Ad Astra,20/09/2019,20/09/2019,"3,460",50000K,21,$50.2 Million,9,11,1,44266235,$80M,50188370,1,19001398,61937,54,50188370,$50.2M,124266235,$44M
29.20%,Warner Bros.,,NADA,NADA,Month,09/05/2019,86,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,2,17,"3,444",55 / 788,55,Isn't It Romantic,Isn't It Romantic,12/02/2019,12/02/2019,"3,444",40000K,21,$48.8 Million,2,11,1,17791187,$31M,48791187,1,14247758,61433,55,48791187,$48.8M,48791187,$18M
42.30%,Paramount Pictures,,NADA,NADA,Month,,NA,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,10,10,"3,642",56 / 788,56,Gemini Man,Gemini Man,11/10/2019,11/10/2019,"3,642",40000K,21,$48.5 Million,10,11,1,26623705,$140M,48546770,1,20552372,37247,56,48546770,$48.5M,166623705,$27M
1.10%,A24,,NADA,NADA,Month,,NA,A24,A24,A24,A24,12,10,5,57 / 788,57,Uncut Gems,Uncut Gems,13/12/2019,13/12/2019,"2,686",40000K,21,$47.9 Million,12,11,1,0,,47949353,1,537242,85865,57,47949353,$47.9M,,$0M
28.80%,Lionsgate,,NADA,NADA,Month,30/05/2019,76,Lionsgate,Lionsgate,Lionsgate,Lionsgate,3,15,"2,803",58 / 788,58,Five Feet Apart,Five Feet Apart,15/03/2019,15/03/2019,"2,866",40000K,21,$45.7 Million,3,11,1,84515410,$7M,45729221,1,13190286,11380,58,45729221,$45.7M,91515410,$85M
39.90%,Universal Pictures,,NADA,NADA,Month,18/07/2019,48,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,5,2,"2,808",59 / 788,59,Ma,Ma,31/05/2019,31/05/2019,"2,816",40000K,21,$45.4 Million,5,11,1,56149753,$5M,45373120,1,18099805,57959,59,45373120,$45.4M,61149753,$56M
